2021-11-05 07:05:09,988 [   2102]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: com.intellij] 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/forms.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_order/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,730 [   5844]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,732 [   5846]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,732 [   5846]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,732 [   5846]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,732 [   5846]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_payment/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,732 [   5846]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/forms.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/utils.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,734 [   5848]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products_category/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products_category/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products_category/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_products_category/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_seller/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_seller/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_seller/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_seller/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sitesetting/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sitesetting/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sitesetting/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sitesetting/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sliders/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sliders/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sliders/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_sliders/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,735 [   5849]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_tag/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_tag/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_tag/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_tag/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_tag/__pycache__/utils.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/rezarezaeeshp/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/rezarezaeeshp/__pycache__/settings.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/rezarezaeeshp/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/rezarezaeeshp/__pycache__/utils.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/rezarezaeeshp/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/utilities/__pycache__/EmailService.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,736 [   5850]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/utilities/__pycache__/Google_reCaptcha.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/policies/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/guarantee/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/order_recepient/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/guarantee/migrations/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/accounts/migrations/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/order_placing/migrations/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,737 [   5851]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/utilities/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,738 [   5852]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/order_placing/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,738 [   5852]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/fapscoshopadmin/purchase_history/__pycache__; root: /home/reza/projects/fapscoshopadmin; mapped root: null 
2021-11-05 07:05:13,738 [   5852]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored files under another root: 17 files total 
2021-11-05 07:05:13,750 [   5864]   WARN - a.repo.GitUntrackedFilesHolder - Ignoring ignored file under another root: /home/reza/projects/khoshtipkala/eshop_account/__pycache__/apps.cpython-39.pyc; root: /home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,788 [  10902]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,788 [  10902]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/forms.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:18,789 [  10903]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
